It depends on what you want to do next, and where you want to do it.	It's up to you what you want to do next.	4.0
Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.	Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations.	4.75
A girl in water without goggles or a swimming cap.	A girl in water, with goggles and swimming cap.	3.0
If I understand you correctly, you are looking for a hypernym of inclusion and exclusion.	Inclusion is the act of including and exclusion is the act of excluding.	2.6
A Das Air Cargo plane sits on the runway.	A passenger plane parked on a runway.	3.2
A man is riding a bicycle on a dirt path.	Two dogs running along dirt path.	1.6
MIER ups 2012 growth forecast to 4.2pc	CMIE cuts 2012-13 growth forecast to 6.3%	0.8
Ukraine protest leaders name ministers, Russian troops on alert	Ukraine Refuses to Act Against Russian 'Provocation'	1.2
A man and a dog on rocks on a beach.	A man and dog on a rocky seashore.	4.6
Militant attack from Afghanistan kills four in Upper Dir	Militant attack from Afghanistan kills FC soldier in Balochistan	3.0
"Former South African Archbishop Desmond Tutu said Sunday he did not see what ""all the fuss"" was over appointing a gay bishop, but urged homosexual clergy to remain celibate."	South Africa's Nobel laureate Archbishop Desmond Tutu says he does not understand all the fuss about appointing a gay bishop, but he has urged homosexual clergy to remain celibate.	4.5
The panda bear lay on the logs.	A panda is lying down.	3.6
SCO says the pricing terms for a license will not be announced for weeks.	Details on pricing will be announced within a few weeks, McBride said.	2.6
A young boy has a red fishing pole.	A young boy stands over a bridge with a fishing pole.	3.0
Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.	Some 34.7 million shares have been tendered, Oracle said in a statement.	3.75
A man is playing the piano.	A man played the guitar.	2.0
It varies by the situation.	This varies by institution.	4.0
A black and white dog is jumping into the water.	a white dog runs across the water.	2.8
He is about to run into the boat	The man is getting his boat clean to take it out on the water.	1.2
A man is playing the piano.	A man is playing a wooden flute.	1.4
A man is bowling.	A kitten is walking.	0.0
A wet child enjoys the summer.	A woman is enjoying the summer weather.	1.8
The people are leaving the airplane.	The people are entering the plane.	2.2
Kiernan testified that Seifert had received a gunshot wound to the back.	Seifert, he testified, had a gunshot wound in the back.	3.5
Young couple sitting on a black couch.	Young couple sitting on couch.	4.0
The kids are at the theater watching a movie.	it is picture day for the boys	0.2
Black bird sitting on a concrete slab.	Black bird standing on concrete.	4.0
As mentioned in the other comments, ANOVA is problematic when mixing types of predictor variables.	I like to think of multitasking as rapid task switching.	0.0
At his request, he will be reassigned within the district.	District Superintendent J. Chester Floyd told reporters Monday that McCrackin will be reassigned within the district.	2.8
1 person killed in sectarian clashes in Lebanon	Nine killed in Syrian-linked clashes in Lebanon	1.4
A man is driving a car.	A man is riding a horse.	1.2
Three men are drying to pull a Subaru out of a ditch along a mountain road.	Two men are waiting for a ride on the side of a dirt road.	1.4
Israelis and Palestinians aim to negotiate a 'final' peace deal after positive talks	Israeli army kills 3 Palestinian militants in West Bank clashes	1.6
"""If that ain't a Democrat, I must be at the wrong meeting,"" he said."	"And if that ain't a Democrat, then I must be in the wrong meeting,"" he said to thunderous applause from his supporters."	3.4
Spike trigger is a specific type or you could say a sub-set of reverse correlations, covariance and probabilities.	There's the naïve version of spike triggered averaging, and the sophisticated version.	2.0
A cat sleeping on the coach with a pillow behind it.	The cat is laying on an animal print blanket.	2.4
